Date,Hips,Neck,Waist,Weight
2018-03-23,,,,274.6
2018-03-24,,,,274.6
2018-03-25,,,,272.6
2018-03-26,,,,271.8
2018-03-27,,,,272.4
2018-03-28,,,,273.0
2018-03-29,,,,272.4
2018-03-30,,,,273.4
2018-03-31,,,,272.2
2018-04-01,,,,270.6
2018-04-02,,,,273.8
2018-04-03,,,,271.6
2018-04-04,,,,271.2
2018-04-12,,,,269.8
2018-04-13,,,,269.0
2018-04-14,,,,268.6
2018-04-15,,,,267.2
2018-04-16,,,,266.0
2018-04-17,,,,266.6
2018-04-18,,,,266.6
2018-04-19,46.5,16.5,46.5,264.8
2018-04-20,,,,265.6
2018-04-22,,,,265.8
2018-04-23,,,,266.6
2018-04-24,,,,267.2
2018-04-25,,,,266.0
2018-04-26,,,,264.8
2018-04-27,,,,265.2
2018-04-29,,,,264.4
2018-04-30,,,,263.2
2018-05-01,,,,264.0
2018-05-02,,,,264.4
2018-05-03,,,,263.4
2018-05-04,,,,265.4
2018-05-05,,,,264.6
2018-05-06,,,,265.4
2018-05-07,,,,264.6
2018-05-08,,,,264.4
2018-05-09,,,,265.2
2018-05-10,,,,266.4
2018-05-11,,,,264.4
2018-05-12,,,,263.6
2018-05-13,,,,264.0
2018-05-14,,,,265.8
2018-05-15,,,,264.0
2018-05-17,,,,262.8
2018-05-18,,,,263.0
2018-05-19,,,,263.6
2018-05-20,,,,262.4
2018-05-21,,,,261.2
2018-05-22,,,,261.0
2018-05-23,,,,261.8
2018-05-24,,,,263.6
2018-05-25,,,,260.4
2018-05-26,,,,261.2
2018-05-27,,,,262.8
2018-05-28,,,,261.6
2018-05-29,,,,261.4
2018-05-30,,,,261.6
2018-05-31,,,,259.2
2018-06-01,,,,259.0
2018-06-04,,,,266.8
2018-06-05,,,,261.8
2018-06-06,,,,258.6
2018-06-07,,,,256.2
2018-06-08,,,,257.2
2018-06-09,,,,257.0
2018-06-10,,,,256.2
2018-06-11,,,,258.6
2018-06-12,,,,258.4
2018-06-13,,,,258.2
2018-06-14,,,,257.2
2018-06-15,,,,257.6
2018-06-16,,,,257.8
2018-06-17,,,,256.0
2018-06-18,,,,257.0
2018-06-19,,,,256.4
2018-06-20,,,,255.4
2018-06-21,,,,255.4
2018-06-22,,,,253.8
2018-06-23,,,,253.4
2018-06-24,,,,254.0
2018-06-25,,,,253.4
2018-06-26,,,,253.4
2018-06-27,,,,252.4
2018-06-28,,,,252.0
2018-06-29,,,,251.4
2018-06-30,,,,253.8
2018-07-01,,,,254.0
2018-07-02,,,,253.2
2018-07-03,,,,252.4
2018-07-04,,,,250.2
2018-07-05,,,,252.8
2018-07-06,,,,250.4
2018-07-07,,,,249.6
2018-07-08,,,,251.8
2018-07-09,,,,252.8
2018-07-10,,,,251.6
2018-07-11,,,,251.4
2018-07-12,,,,250.0
2018-07-13,,,,248.0
2018-07-16,,,,250.0
2018-07-17,,,,251.2
2018-07-18,,,,250.0
