Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2014-03-19,"Front Squats, Barbell, Arms Crossed",Strength,,,4,21,300.0,,
2014-03-19,Push Ups (push-ups),Strength,,,3,9,260.0,,
2014-03-19,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,81.0,5,,,,,
2014-03-19,"Walking, 2.5 mph, leisurely pace",Cardio,218.0,40,,,,,
2014-03-27,"Running (jogging), 7 mph (8.5 min mile)",Cardio,340.0,15,,,,,
2014-03-27,"Walking, 3.0 mph, mod. pace",Cardio,292.0,45,,,,,
2016-10-19,Barbell Military Press,Strength,,,2,8,35.0,,
2016-10-19,"Bench Press, Barbell",Strength,,,3,8,145.0,,
2016-10-19,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,60.0,3,,,,,
2016-10-19,"Walking, 3.0 mph, mod. pace",Cardio,125.0,17,,,,,
2016-10-20,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,78.0,4,,,,,
2016-10-20,"Walking, 3.0 mph, mod. pace",Cardio,86.0,12,,,,,
2017-10-01,"Walking, 2.5 mph, leisurely pace",Cardio,2317.0,360,,,,,
