Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-06-26,Breakfast,400.0,21.0,2.0,2.5,15.0,0.0,0.0,300.0,700.0,37.0,3.0,9.0,20.0,20.0,20.0,20.0,20.0,
2017-06-26,Lunch,520.0,18.0,6.0,0.0,0.0,0.0,115.0,1540.0,0.0,50.0,4.0,12.0,40.0,8.0,25.0,30.0,15.0,
2017-06-26,Dinner,478.0,15.0,0.6,2.2,1.5,0.0,0.0,83.0,63.0,79.5,2.0,0.1,10.9,0.0,0.0,3.0,8.0,
2017-06-27,Breakfast,400.0,21.0,2.0,2.5,15.0,0.0,0.0,300.0,700.0,37.0,3.0,9.0,20.0,20.0,20.0,20.0,20.0,
2017-06-27,Lunch,809.0,39.0,4.5,0.0,0.0,0.0,60.0,660.0,0.0,26.0,8.0,2.0,25.0,0.0,0.0,0.0,0.0,
2017-06-27,Dinner,295.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,59.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,
2017-06-27,Snacks,320.0,10.0,6.0,0.0,0.0,0.0,5.0,10.0,0.0,56.0,2.0,50.0,2.0,0.0,0.0,2.0,4.0,
2017-06-28,Breakfast,676.0,23.0,10.0,0.0,0.0,0.0,120.0,614.0,0.0,92.0,2.0,12.0,30.0,35.0,50.0,6.0,40.0,
2017-06-28,Lunch,530.0,28.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,1.4,29.1,5.7,0.0,0.0,0.0,0.0,
2017-06-28,Dinner,410.0,18.0,3.5,5.5,9.0,0.0,0.0,525.0,90.0,50.0,6.0,15.0,14.0,0.0,0.0,0.0,12.0,
2017-06-28,Snacks,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-06-29,Breakfast,155.0,5.0,1.5,1.0,2.0,0.0,185.0,65.0,70.0,22.0,0.0,0.0,6.0,6.0,0.0,2.0,4.0,
2017-06-29,Lunch,400.0,21.0,2.0,2.5,16.0,0.0,0.0,300.0,700.0,36.0,3.0,9.0,20.0,20.0,20.0,20.0,20.0,
2017-06-29,Dinner,1155.0,59.1,18.9,7.8,23.4,0.0,92.1,2562.3,766.5,108.6,6.9,0.0,47.4,24.0,15.0,57.0,45.0,
2017-06-29,Snacks,474.0,39.0,3.1,2.7,14.0,0.0,0.0,10.0,708.0,12.0,10.0,1.0,20.9,4.0,24.0,1.0,4.0,
2017-08-18,Breakfast,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-21,Breakfast,452.2,21.6,15.8,0.2,0.8,0.0,25.0,445.0,0.0,51.0,5.0,25.0,16.0,0.0,0.0,20.0,0.0,
2017-09-21,Lunch,726.9,20.4,14.1,0.3,0.1,0.0,35.0,2586.5,779.7,114.2,13.1,43.9,23.0,35.1,35.2,16.5,26.6,
2017-09-21,Dinner,692.3,21.5,2.8,1.9,10.0,0.0,0.0,345.4,324.1,85.0,7.6,26.6,15.1,22.0,65.0,4.0,16.5,
2017-09-21,Snacks,122.5,5.8,3.3,0.0,0.0,0.0,32.5,92.5,0.0,16.8,0.3,11.5,1.3,3.8,0.5,1.0,2.0,
2017-09-22,Breakfast,958.0,75.0,23.0,1.0,3.0,0.0,153.0,1006.0,173.0,34.0,4.0,0.0,42.0,11.0,20.0,28.0,25.0,
2017-09-22,Lunch,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-22,Dinner,250.0,6.5,0.0,0.5,4.5,0.0,0.0,440.0,185.0,47.0,7.0,16.0,5.0,18.0,0.0,75.0,10.0,
2017-09-22,Snacks,581.0,23.0,15.0,0.0,0.0,0.5,80.0,180.0,0.0,63.2,1.0,42.0,8.2,0.0,0.0,0.0,0.0,
2017-09-23,Breakfast,452.2,21.6,15.8,0.2,0.8,0.0,25.0,445.0,0.0,51.0,5.0,25.0,16.0,0.0,0.0,20.0,0.0,
2017-09-23,Lunch,570.0,13.5,1.5,0.0,0.0,0.0,0.0,1020.0,0.0,85.5,10.5,7.5,25.5,22.5,37.5,9.0,32.0,
2017-09-23,Dinner,649.5,4.6,0.0,0.1,3.4,0.0,0.0,320.0,158.8,78.9,6.3,16.0,10.7,10.5,0.0,41.3,8.5,
2017-09-23,Snacks,235.8,7.5,0.9,3.4,0.9,0.0,0.0,45.0,217.7,32.6,6.1,6.7,9.2,3.8,5.0,14.2,19.7,
2017-09-24,Breakfast,428.3,12.9,0.9,4.3,3.5,0.0,0.0,875.0,278.9,63.3,12.8,18.7,16.9,21.3,9.0,92.9,33.2,
2017-09-24,Lunch,447.0,16.0,2.5,0.0,0.0,0.0,15.0,717.5,10.5,67.0,8.0,34.0,9.0,4.0,17.0,5.5,15.0,
2017-09-24,Dinner,770.0,18.0,6.0,0.0,0.0,0.0,95.0,850.0,0.0,88.0,12.0,18.0,46.0,0.0,0.0,4.0,4.0,
2017-09-24,Snacks,317.2,14.6,11.8,0.2,0.8,0.0,0.0,210.0,0.0,42.0,2.0,19.0,5.0,0.0,0.0,6.0,8.0,
2017-09-25,Breakfast,831.5,31.0,23.5,0.7,2.0,0.0,10.0,846.0,178.5,122.3,10.3,60.0,16.3,3.0,0.0,33.5,16.7,
2017-09-25,Lunch,200.0,1.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,42.0,2.0,19.0,5.0,0.0,0.0,6.0,8.0,
2017-09-25,Dinner,760.0,26.0,4.0,5.0,0.0,0.0,70.0,1700.0,445.0,98.0,6.0,14.0,32.0,99.3,38.4,9.1,24.5,
2017-09-25,Snacks,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,22.0,5.0,16.0,0.0,2.0,8.0,8.0,2.0,
2017-09-26,Breakfast,464.0,4.0,0.0,0.4,1.2,0.0,0.0,368.0,448.0,102.8,2.8,72.0,4.8,8.0,200.0,44.0,9.6,
2017-09-26,Lunch,620.0,36.0,15.0,0.0,0.0,0.0,495.0,1860.0,0.0,37.0,2.0,4.0,38.0,0.0,0.0,0.0,0.0,
2017-09-26,Dinner,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-27,Breakfast,64.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-27,Lunch,1490.0,80.0,19.0,0.0,0.0,0.0,120.0,2430.0,675.0,148.0,7.0,57.0,47.0,50.0,35.0,27.0,26.0,
